original_title,original_review,cleaned_text,rating,date,language
Perfect for watching sports,"Great setup with TVs visible from every table, excellent pitcher specials during games, and their 'Game Day' pizza loaded with multiple meats and jalapeños is the perfect sports-watching food. Atmosphere gets lively but not obnoxious.",perfect watch sport great setup tv visible table excellent pitcher special game Game Day pizza load multiple meat jalapeños perfect sport watch food atmosphere get lively obnoxious,4,2024-02-27,en
Sauce had an odd chemical taste,The sauce had a strange artificial flavor - almost like they used sauce mix rather than real tomatoes. Had an unpleasant chemical aftertaste that lingered long after eating. Very disappointing.,Sauce odd chemical taste sauce strange artificial flavor like sauce mix real tomato unpleasant chemical aftertaste linger long eat disappointing,2,2024-03-02,en
Outstanding wood-fired perfection,The wood-fired oven gives their pizza a distinctive smoky complexity you can't get any other way. The slight char adds bitterness that balances the sweetness of the sauce perfectly. Worth seeking out for this unique flavor profile.,outstanding wood fire perfection wood fire oven give pizza distinctive smoky complexity way slight char add bitterness balance sweetness sauce perfectly worth seek unique flavor profile,5,2024-01-04,en
Too much salt in the dough,The crust was so salty it was almost inedible - overwhelmed all the other flavors and left me incredibly thirsty afterward. A heavy hand with salt ruined what could have been a good pizza.,salt dough crust salty inedible overwhelm flavor leave incredibly thirsty afterward heavy hand salt ruin good pizza,2,2024-02-10,en
Excellence in simplicity,"Their classic Margherita showcases their commitment to quality - the balance of sweet-acidic tomato sauce, creamy fresh mozzarella, fragrant basil, and that perfectly chewy-crisp crust. Proof that simple can be sublime.",excellence simplicity classic Margherita showcase commitment quality balance sweet acidic tomato sauce creamy fresh mozzarella fragrant basil perfectly chewy crisp crust Proof simple sublime,5,2024-03-19,en
Suspiciously uniform toppings,"All the vegetable toppings were cut in precisely identical shapes and sizes, suggesting they came pre-cut from a food service provider rather than being prepared fresh in-house as claimed. Tasted fine but felt deceived by the marketing.",suspiciously uniform topping vegetable topping cut precisely identical shape size suggest come pre cut food service provider prepare fresh house claim taste fine felt deceive marketing,3,2024-01-30,en
Perfect niche for Roman-style pizza,"Their Roman-style pizza al taglio (rectangular, with a focaccia-like base) is a welcome alternative to the usual round pies. The airy, light crust holds up wonderfully to the creative topping combinations. A distinctive option in a crowded pizza market.",perfect niche roman style pizza roman style pizza al taglio rectangular focaccia like base welcome alternative usual round pie airy light crust hold wonderfully creative topping combination distinctive option crowded pizza market,5,2024-02-25,en
Pizza barely survived the drive home,"Ordered takeout and by the time I got home (15 minutes), the pizza was a soggy mess. They clearly don't use appropriate packaging for takeout - no vents to release steam means the crust steams itself into sogginess.",Pizza barely survive drive home order takeout time get home minute pizza soggy mess clearly use appropriate packaging takeout vent release steam mean crust steam sogginess,2,2024-03-04,en
Magnificent flavor layering,"The thoughtful layering of ingredients creates a perfect progression of flavors - the spicy soppressata reveals the sweetness of the roasted red peppers, which contrasts with the brininess of the olives. Every bite is a journey.",magnificent flavor layer thoughtful layering ingredient create perfect progression flavor spicy soppressata reveal sweetness roasted red pepper contrast brininess olive bite journey,5,2024-01-15,en
Crust like cardboard,"The crust had all the flavor and texture of packing material - dry, tough, and completely devoid of character. Even the decent toppings couldn't save it. The foundation of good pizza is good dough, and this wasn't it.",crust like cardboard crust flavor texture pack material dry tough completely devoid character decent topping save foundation good pizza good dough,2,2024-02-12,en
Perfect for large parties,"Their party package is fantastic - multiple 18-inch pizzas with varied toppings, plenty of sides, and they were accommodating with our group of 20. Everything arrived hot and on time, and they included all the necessary paper goods.",perfect large party party package fantastic multiple inch pizza varied topping plenty side accommodate group arrive hot time include necessary paper good,5,2024-03-14,en
False advertising on ingredients,"Menu promised 'house-made Italian sausage' but what came on my pizza was clearly pre-formed, uniform pellets of commercial sausage. When questioned, staff admitted they don't make any ingredients in-house despite menu claims.",false advertising ingredient Menu promise house italian sausage come pizza clearly pre form uniform pellet commercial sausage question staff admit ingredient house despite menu claim,1,2024-01-08,en
Supreme quality control,"Visited multiple times and the consistency is impressive - every pizza comes out identical to the last one, with the same excellent quality. Shows serious commitment to training and standards that's rare in casual dining.",Supreme quality control visit multiple time consistency impressive pizza come identical excellent quality show commitment training standard rare casual dining,5,2024-02-18,en
Pizza arrived upside-down,Delivery driver must have taken a sharp turn because our pizza arrived completely flipped over in the box - all toppings stuck to the lid. Restaurant offered no solution other than suggesting we 'scrape it off and reassemble it.',Pizza arrive upside Delivery driver take sharp turn pizza arrive completely flip box topping stick lid restaurant offer solution suggest scrape reassemble,1,2024-03-06,en
Exceptional sauce-making technique,"You can tell their sauce is made with properly hand-crushed tomatoes - it has that perfect texture with small chunks rather than being completely smooth. The bright flavor suggests minimal cooking, allowing the tomato quality to shine.",exceptional sauce making technique tell sauce properly hand crush tomato perfect texture small chunk completely smooth bright flavor suggest minimal cooking allow tomato quality shine,5,2024-01-26,en
Too much emphasis on appearance,"The pizza was clearly designed to look good in photos - perfect symmetry, vibrant colors, photogenic cheese pull - but the flavor was underwhelming. Style over substance for the Instagram crowd.",emphasis appearance pizza clearly design look good photo perfect symmetry vibrant color photogenic cheese pull flavor underwhelming style substance Instagram crowd,3,2024-02-14,en
Brilliant use of fermented dough,Their 72-hour fermented dough has incredible depth of flavor with subtle sourdough notes. The extended fermentation creates a complex web of flavors and perfect texture that you simply can't achieve with quick-rise methods.,brilliant use fermented dough hour ferment dough incredible depth flavor subtle sourdough note extended fermentation create complex web flavor perfect texture simply achieve quick rise method,5,2024-03-17,en
Excessive grease pooling,"Had to continuously blot the pizza with napkins as pools of orange grease formed on top of the cheese with every passing minute. By the end, the napkins were completely saturated and transparent. Felt unhealthy even by pizza standards.",excessive grease pooling continuously blot pizza napkin pool orange grease form cheese pass minute end napkin completely saturate transparent felt unhealthy pizza standard,2,2024-01-22,en
Perfect for dietary restrictions,"As someone with multiple food allergies, I appreciate that they take dietary concerns seriously. Their allergen matrix is comprehensive, staff is knowledgeable, and they have proper protocols to prevent cross-contamination. Finally can enjoy pizza safely!",perfect dietary restriction multiple food allergy appreciate dietary concern seriously allergen matrix comprehensive staff knowledgeable proper protocol prevent cross contamination finally enjoy pizza safely,5,2024-02-09,en
Tasteless cheese substitute,"Their vegan cheese option was terrible - had no meltability, a grainy texture, and tasted strongly of coconut which clashed with the tomato sauce. If you can't do vegan cheese well, better to offer cheese-free options that are properly balanced.",tasteless cheese substitute vegan cheese option terrible meltability grainy texture taste strongly coconut clash tomato sauce vegan cheese well offer cheese free option properly balanced,2,2024-03-01,en
Masterclass in proper baking,"Watching the pizzaiolo work the oven is like watching an artist - constantly rotating pizzas, adjusting their position based on hot spots, and pulling each one at precisely the right moment. This attention to the baking process makes all the difference.",masterclass proper baking watch pizzaiolo work oven like watch artist constantly rotate pizza adjust position base hot spot pull precisely right moment attention baking process make difference,5,2024-01-10,en
Tomato sauce tasted rancid,"The sauce had a distinctly off flavor that suggested the tomatoes had gone bad before processing. After two bites, couldn't continue eating as the rancid notes became more pronounced. Basic food safety seems questionable.",tomato sauce taste rancid sauce distinctly flavor suggest tomato go bad processing bite continue eat rancid note pronounced basic food safety questionable,1,2024-02-16,en
Perfect buffalo mozzarella application,They understand that buffalo mozzarella shouldn't be cooked too long or it loses its distinctive texture and flavor. Applied in dollops after the pizza is mostly baked so it just barely melts while maintaining its creamy integrity. Technical perfection!,perfect buffalo mozzarella application understand buffalo mozzarella cook long lose distinctive texture flavor apply dollop pizza bake barely melt maintain creamy integrity technical perfection,5,2024-03-20,en
